dataset_name,source,source_url,source_type,real_or_synthetic,license,publication_year,date_range,granularity,description,processing_method,used_for_model,limitations,download_date
Kumbh Mela CDR Crowd Mobility Dataset,"Peer-Reviewed Research (PMC4892527)",https://pmc.ncbi.nlm.nih.gov/articles/PMC4892527/,Peer-Reviewed Paper,VERIFIED REAL,Open Access CC-BY,2016,2013-01-14 to 2013-03-10,Daily / Hourly Aggregate,Aggregated cell tower handset counts and spatial-temporal mobility patterns during Kumbh Mela,Extract spatial density curves and growth rate ratios for peak bathing days,Crowd Intensity & Growth Feature Modeling,Aggregate only; no PII or individual movement paths,2026-09-08
Maha Kumbh 2025 Official Water Statistics,"Press Information Bureau (PIB PRID 2100106)",https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2100106&lang=2&reg=3,Government Press Release,VERIFIED REAL,Government Open Access,2025,2025-01-13 to 2025-02-26,Daily Aggregate,Official Water-ATM dispensation statistics daily consumption volumes and operational capacity,Calibrate per-capita water demand and ATM replenishment rates (3.2-4.5 L/pilgrim/day),Water Demand Benchmark Calibration,Aggregated city-wide totals requiring zone spatial allocation,2026-09-08
Maha Kumbh 2025 Visitor Satisfaction & Crowding Survey,"Mendeley Data (zvkkk4mzrg/1)",https://data.mendeley.com/datasets/zvkkk4mzrg/1,Academic Survey Dataset,VERIFIED REAL,CC BY 4.0,2025,2025-01-15 to 2025-02-20,Survey Level,Survey data on visitor queue times facility access perception and crowding behavior,Cross-reference crowding tolerance and dwell times across ghats,Zone Dwell Time & Peak Demand Weighting,Survey sample subject to response bias,2026-09-08
Kumbh Health & Disease Surveillance Trends,"PMC Medical Research (PMC7513824)",https://pmc.ncbi.nlm.nih.gov/articles/PMC7513824/,Peer-Reviewed Paper,VERIFIED REAL,Open Access CC-BY,2020,2019-01-15 to 2019-03-04,Daily Aggregated Cases,Epidemiological disease surveillance outpatient attendance and trauma incident rates,Extract respiratory gastrointestinal and trauma incidence rates per 10k attendees,Medical Triage & Trauma Kit Demand Modeling,Aggregated case numbers without patient records,2026-09-08
Mass Gathering Medical Care Patterns,"PMC Medical Research (PMC5939834)",https://pmc.ncbi.nlm.nih.gov/articles/PMC5939834/,Peer-Reviewed Paper,VERIFIED REAL,Open Access CC-BY,2018,2016-04-22 to 2016-05-21,Hourly / Daily Triage,Medical care utilization and emergency supply depletion rates at Ujjain Simhastha Kumbh,Calibrate medical camp triage throughput and consumable kit depletion rates,Medical Supply Reorder Point Modeling,Historical 2016 baseline requires inflation adjustment,2026-09-08
Historical Water and WASH Infrastructure Studies,"PMC WASH Research (PMC4404264)",https://pmc.ncbi.nlm.nih.gov/articles/PMC4404264/,Peer-Reviewed Paper,VERIFIED REAL,Open Access CC-BY,2015,2013-01-14 to 2013-02-28,Sector-Level Infrastructure,Sanitation facility deployment water supply distribution pipelines and hygiene dynamics,Calibrate sanitation chemical enzyme needs (1.2 units/1000 visitors/day),Sanitation & Hygiene Safety Stock Calculation,Historical baseline; infrastructure scale has expanded,2026-09-08
Official Maha Kumbh 2025 Portal Infrastructure Directory,"Government of UP (prayagraj.nic.in)",https://prayagraj.nic.in/event/maha-kumbh-mela-2025/,Official Portal,VERIFIED REAL,Government Public Domain,2025,2025-01-01 to 2025-03-01,Facility Geolocation,Official sector demarcations pontoon bridge locations parking staging yards and administrative sectors,Geospatial coordinate mapping and sector boundary definitions,3D Digital Twin Coordinate Alignment,Static geographic snapshots,2026-09-08
Digital Maha Kumbh Technology Architecture,"NIC Informatics (informatics.nic.in)",https://informatics.nic.in/files/websites/april-2025/nic-at-divya-bhavya-digital-maha-kumbh-2025.php,Official Technical Report,VERIFIED REAL,Government Public Domain,2025,2025-04-01,System Architecture,Architectural overview of AI CCTV crowd density sensors RFID tracking and central command centers,Formulate AI decision loop and IoT data ingestion interface specs,Architecture & Telemetry Pipeline Design,High-level design document without live sensor feeds,2026-09-08
Data.gov.in Public Urban & Transport Data,"Open Government Data Platform India (data.gov.in)",https://data.gov.in/,Open Data Portal,VERIFIED REAL,Government Open Data (GODL-India),2024,2020 to 2024,Urban Infrastructure,Public datasets on municipal water supply railway passenger surges and state logistics hubs,Validate baseline consumption curves and freight transport speeds in Madhya Pradesh,Regional Logistics Baseline Calibration,Variable update frequency across datasets,2026-09-08
Open-Meteo Weather API (Real-Time & Historical),"Open-Meteo Weather API",https://open-meteo.com/,Live REST API,LIVE API,Open Database License (ODbL),2026,Hourly Live & 90-Day History,Hourly (0.1° resolution),Temperature apparent temperature relative humidity rainfall wind speed and weather code,Real-time polling and historical ingestion for Ujjain (23.18° N 75.77° E),Weather-Driven Demand Feature Engineering,Forecast uncertainty increases beyond 72h horizon,2026-09-08
OpenStreetMap & Overpass Geospatial Road Infrastructure,"OpenStreetMap Contributors",https://www.openstreetmap.org/,Open Geographic Data,VERIFIED REAL,Open Database License (ODbL),2026,Continuous,Vector Road & Node Network,Real road geometries arterial corridors bridges river ghats and building footprints in Ujjain,Export exact road segments and facility coordinates for routing network,Road Network & Physical Geo-Anchoring,Relies on community mapping updates,2026-09-08
Synthetic Calibrated Multi-Commodity Operations Simulator,"KumbhSupply-AI Engine",Internal Pipeline,SYNTHETIC / SIMULATED,Proprietary Research Engine,2026,90-Day Hourly Horizon,Hourly per Zone & Commodity,Multi-commodity inventory levels consumption transactions warehouse surplus and convoy dispatches,Calibrated operational simulation based on real crowd weather and PIB water constraints,End-to-End System Evaluation & Training,Simulated operational data for training and testing,2026-09-08
