stage,file_name,source_origin,data_classification,transformations_applied,target_features,verification_method
raw_ingest,data/raw/kumbh_cdr_mobility.csv,PMC4892527 (Peer-Reviewed),VERIFIED REAL,Ingested daily aggregate handset volume and spatial mobility indexes,crowd_count crowd_growth_rate peak_event_flag,Cross-referenced with published paper tables
raw_ingest,data/raw/pib_water_statistics.csv,PIB PRID 2100106 (Official Government),VERIFIED REAL,Extracted daily water ATM dispensation and capacity numbers,per_capita_water_rate water_daily_benchmark,Official PIB press release verification
raw_ingest,data/raw/mendeley_survey.csv,Mendeley Data zvkkk4mzrg/1,VERIFIED REAL,Parsed visitor dwell times and crowding perception scores,dwell_time_factor zone_congestion_weight,Academic DOI validation
raw_ingest,data/raw/medical_surveillance.csv,PMC7513824 & PMC5939834,VERIFIED REAL,Ingested daily triage attendance and trauma incidence rates,medical_case_rate trauma_kit_baseline,Peer-reviewed epidemiological tables
raw_api,data/raw/api/open_meteo_weather.json,Open-Meteo REST API,LIVE API,Queried hourly temperature humidity precipitation and wind speed,temperature apparent_temperature humidity rainfall,Direct live API validation (HTTP 200)
raw_geo,data/raw/osm_infrastructure.geojson,OpenStreetMap & Overpass,VERIFIED REAL,Filtered road vectors bridges warehouses ghats in Ujjain,latitude longitude road_type speed_limit_kmh,OSM vector validation
synthetic_sim,data/synthetic/simulated_operations.csv,Calibrated Operational Simulator,SYNTHETIC / SIMULATED,Simulated multi-commodity inventory transactions with PIB & crowd constraints,current_inventory consumption_rate incoming_inventory,Calibrated against PIB & medical research rates
processed_merge,data/processed/unified_modelling_table.csv,Pipeline Stage 04 (04_merge.py),DERIVED,Merged spatial crowd weather and operational records into unified timestamped schema,unified_feature_matrix (48 columns),Automated schema validation (02_validate.py)
engineered,data/processed/features_engineered.csv,Pipeline Stage 05 (05_feature_engineering.py),DERIVED,Calculated lag features (1h 6h 24h) rolling mean/std and weather severity,demand_lag_1h rolling_mean_6h weather_severity,Temporal chronological integrity checks (no future leak)
model_training,data/processed/model_checkpoints.json,Pipeline Stage 07 (07_train.py),DERIVED,Trained Ridge Random Forest and Gradient Boosting regressors and classifiers,model_weights feature_importance_scores,70/15/15 chronological validation split
evaluation,data/processed/MODEL_RESULTS.csv,Pipeline Stage 08 (08_evaluate.py),DERIVED,Computed MAE RMSE sMAPE Precision Recall and F1 across all commodities,evaluation_metrics_matrix,Scored against test split (15%)
